id,judul,foto,penerbit,isbn,tempat_terbit
,Metode penelitian komunikasi : contoh2 penelitian kualitatif dengan pendekatan praktis,,Remaja Rosdakarya,979-692-818-3,Bandung
,Pengantar ilmu hukum,,Raja Grafindo Persada,979-421-174-5,Jakarta
,Perbandingan pemerintahan,,Refika Adatama,979-1073-35-X,Bandung
,Efisiensi perbankan syariah : teori dan praktik,,Gramata Publishing,978-602-8986-79-3,Bekasi
,Media pengajaran,,Sinar Baru Algensido,978-979-670-156-8,Bandung
,Aspek ilmu komunikasi dalam public relations : tinjauan ilmiah bagi praktisi dan akademisi,,Indeks,978-979-062-240-1,Jakarta
,Kapita selekta KAMMI : membumikan ideologi menginpirasi Indonesia,,MUDA CENDEKIA,978-979-19899-0-9,Bandung
,Pengantar ilmu Antropologi,,Rineka Cipta,978-979-518-966-4,Jakarta
,"Aspek sosial amdal : sejarah, teori & metode",,Gadjah Mada University Press,979-420-703-9,Yogyakarta
,Pengnatar oseanografi,,UI Press,979-456-218-1,Jakarta
,"Ekonomi makro : Teori analisis, & kebijakan",,Gramedia Pustaka Utama,979-655-995-1,Jakarta
,Bersepeda untuk kebugaran,,Pakar Raya,978-0-7360-6364-7,Bandung
,Kreatif bertanam cabai dalam pot,,Pustaka Baru Press,978-602-99884-0-9,Yogyakarta
,"Analisis laporan keuangan pemerintah daerah : panduan bagi eksekutif DPRD, dan masyarakat dalam pengambilan keputusan ekonomi. sosial dan politik",,UPP STIM YKPN,979-3532-24-6,Yogyakarta
,Anatomi tubuh manusia,,Laskar Aksara,978-602-9041-14-9,Bekasi
,Pendidikan karakter : konsep dan implementasi,,Alfabeta,978-602-9328-51-6,Bandung
,Manajemen persediaan ; aplikasi di bidang bisnis,,RajaGrafindo Persada,979-421-420-5,Jakarta
,"Kalimat efektif = diksi, struktur, dan logika",,Refika aditaman,979-1073-42-2,Bandung
,Wacana dan pragmatik,,Refika Adatama,978-602-8650-82-3,Bandung
,The Norton Introduction To Literature,,W.W Norton & Company Inc,0-393-97743-9,London
,Dinamika politik lokal otonomi era otonomi daerah,,Pustaka pelajar,978-602-8055-65-9,Yogyakarta
,Lebih sukses & untung beternak ayam broiler,,Dafa Publishing,978-602-17113-2-3,Surabaya
,Teropong keuangan : Ekonomi bangsa tanggapan & solusi,,Pustaka Reka Cipta,978-602-19824-3-3,Bandung
,Akuntansi praktis untuk UMKM,,Laskar Aksara,978-602-9041-75-0,Jakarta
,Akuntansi keuangan menengah berbasis PSAK,,Salemba Empat,978-979-061-1,Jakarta
,Metodologi penelitian kualitatif dan kuantitatif dalam bidang kesehatan,,Nuha Medika,978-602-17607-9-6,Yogyakarta
,Rahasia menjadi guru idola : panduan memaksimalkan proses belajar mengajr secara kreatif dan interaktif,,Ar-Ruzz Media,978-602-7874-48-0,Yogyakarta
,Akuntansi biaya,,UPP Sekolah inggi Ilmu Manajemen YKPM,979-3532-08-04,Yogyakarta
,Pembelajaran inovatif ; strategi mengelola kelas secara efektif dan menyenangkan,,Ar-Ruzz Media,978-602-7874-11-4,Ar-Ruzz Media
,Metode penelitian,,Ghalia Indonesia,979-450-173-5,Bogor
,"Dewa Budjana, gitarku, hidupku, kekasihku",,Gramedia Pustaka Utama,979-22-3375-x,Jakarta
,"Pancasila, demokrasi, Ham, & masyarakat Madani",,Indonesia Center Civic Education,979-3465-03-4,Jakarta
,Potong kompas jalan pintas:Mahir menggambar & menggambar dan merencana rumah tinggal dengan Autocad 2012,,Andi,978-979-29-33590-8,Yogyakarta
,Dasar-dasar hukum perburuhan,,RajaGrafindo Persada,978-979-769-489-0,Jakarta
,Pengantar ilmu politik,,Pustaka Reka Cpta,978-979-19561-7-8,Bandung
,Metodologi peneltian pendidikan,,Gava Media,978-602-7869-59-2,Yogyakarta
,Teori kuesioner & analisis data sumberdaya manusia= praktis penelitian,,Caps,979-602-9324-17-4,Yogyakarta
,Ekologi Asia tenggara : Kepulauan Indonesia,,Salemba Teknika,978-979-9549-33-4,Jakarta
,Supply chain management,,Guna Widya,979-545-053-0,Surabaya
,Sosiologi suatu pengantar,,Rajawali Pers,978-979-769-577-4,Jakarta
,Psikologi pendidikan : membantu siswa tumbuh dan berkembang,,Erlangga,978-979-075-563-5,Jakarta
,"Psikologi kesehatan wanita = remaja menstruasi, menika, hamil, nifas dan menyusui",,Nuha Medika,978-602-9129-18-2,Yogyakarta
,Biologi tanah : ekologi dan makrobiologi tanah,,Rajawali Pers,979-3654-40-6,Jakarta
,"Penelitian tindakan kelas untuk pengembangan profesi guru : praktik, praktis, dan mudah",,Alfabeta,978-602-8800-31-0,Bandung
,Operation research,,Erlangga,979-781-835-7,Jakarta
,The economics of poverty and discrimination,,Pearson Education Inc,978-0-13-188969-9,New Jersey
,Toksikologi lingkungan,,Gajah Madah Universitas,979-420-533-8,Yogyakarta
,Pengantar manajemen olahraga,,RajaGrafindo Persada,978-979-769-409-5,Jakarta
,Psikologi pendidikan,,Rineka Cipta,978-979-518-706-6,Jakarta
,Guru berkarakter untuk implementasi pendidikan karakter,,Gava Media,978-602-7869-35-6,Yogyakarta
,Analysis and control of production systems,,Prentice Hall,0-13-14117-1,New Jersey
,Administrasi pendidikan,,PT. Refika Aditama,978-602-8650-17-5,Bandung
,Metode penelitian kuantitatif : analis isi dan analisis data sekunder,,Raja Grafindo Persada,9780979-769-298-8,Jakarta
,Pengantar bisnis,,Graha lmu,979-756-032-9,Yogyakarta
,"Fisika atom : Dalam perspektif klasik, semiklasik dan kuantum",,Pustaka Pelajar.,978-602-8055-87-1,Yogyakarta
,Wealth management,,Elex mediia komputindo,978-979-27-1781-5,Jakarta
,Evaluasi program pendidikan : pedoman teoritis praktis bagi mahasiswa da praktisi pendidikan,,Bumi aksara,978-979-010-481-5,Jakarta
,PAS = Panduan aplikatif dan solusi mengolah data statistik hasil penelitian dengan SPSS 17,,Andi Yogyakarta,978-979-29-1264-7,Yogyakarta
,Prosedur uji hipotesis untuk riset ekonomi,,Alfabeta,978-602-9328-35-6,Bandung
,Model pembelajaran matematika di sekolah dasar,,Remaja Rosdakarya,979-692-819-1,Bandung
,Desain pembelajaran berbasis pencapaian kompetensi panduan merancang pembelajaran untuk mendukung implementasi kurikulum 2013,,prestasi pustakaraya,978-602-256-003-6,Jakarta
,Sosiologi klasik : dari comte hingga parsons,,Remaja Rosdakarya,797-692-671-7,Bandung
,Reorentasi ekonomi syariah,,UII Press,978-979-3333-70-0,Yogyakarta
,Teori kuesioner & proses analisis data perilaku organisasional,,Caps,978-602-9324-37-2,Yogyakarta
,Membangun sumberdaya manusia berkualitas : Perspektif organisasi publik,,Brilian nternasional,978-602-19546-9-0,Surabaya
,"Hama dan penyakit tanaman : pangan, holtikultura dan perkebunan masalah dan solusinya",,Kanisius,978-979-21-2719-5,Yogyakarta
,Memahami kesehatan reproduksi wanita,,Arcan,979-431-397-1,Jakarta
,Peraban komunikasi politik: Potret manusia Indonesia,,Remaja Rosdakarya,979-514-783-8,Bandung
,Teori militansi: Esai2 politik radikal,,Koekoesan,978-979-1442-51-0,Depok
,Bank dan lembaga keuangan lainnya,,RajaGrafindo Persada,978-979-769-413-5,Jakarta
,"Praktek-praktek terbaik active directory : Migrasi, Desain & troubleshooting",,PT. Elex Media Komputindo,979-20-7609-3,Jakarta
,Panduan lengkap manager & supervisor,,Buku Pintar,978-602-7881-79-2,Yogyakarta
,Model pembelajaran anak usia dini,,Alfabeta,979-602-8361-58-3,Bandung
,Teknologi biogas : Pembuatan operasional & pemanfaatan,,Graha ilmu,978-979-756-616-6,Yogyakarta
,Khasiat & cara olah sambiloto untuk menumpas berbagai penyakit,,Pustaka Baru Press,602-7819-61-8,Yogyakarta
,Filsafat ilmu pengetahuan,,prestasi pustakaraya,978-602-8963-28-2,Jakarta
,Buku pintar merawat & melatih burung kicauan,,Agromedia Pustaka,979-006-216-8,Jakarta
,Rumus & data dalam analisis statistika untuk penelitian,,Alfabeta,979-8433-09-2,Bandung
,Metodologi pembelajaran IPA,,Bumi aksara,978-602-217-404-2,Jakarta
,Statistika probabilitas : teori dan aplikasi,,Andi,978-979-29-3092-4,Yogyakarta
,Anatomi dan fisiologi untuk paramedis,,Gramedia Pustaka Utama,978-979-22-5147-0,Jakarta
,"Aplikasi inventory menggunakan java netbeans, xampp, dan ireport",,Elex mediia komputindo,978-602-02-0467-3,Jakarta
,Guru sejati guru idola,,Araska,978-602-7934-35-1,Yogyakarta
,"Pemasaran jasa : manusia teknologi, strategi perspektif indonesia",,Erlangga,978-602-241-124-6,Jakarta
,24 jam belajar PHP,,PT. Elex Media Komputindo,978-602-02-4948-3,Jakarta
,I'm the boss,,Jogya Bangkit,978-602-8620-30-7,Yogyakarta
,Jurnalistik praktis untuk pemula,,Remaja Rosdakarya,979-514-896-6,Bandung
,Genetika tumbuhan,,Universitas Gadjah Mada,979-420-001-8,Yogyakarta
,Pengembangan instrumen penelitian pendidikan,,Graha ilmu,978-979-756-941-9,Yogyakarta
,Kalkulus,,Erlangga,979-741-012-9,Jakarta
,Mudah membuat media pembelajaran multimedia interaktif untuk guru & profesional,,PUstaka wIDYATAMA,978-979-610-446-8,Yogyakarta
,Standar akuntansi pemerintahan ; peraturan pemerintah RI no.71 thn 2010,,Fokusindo Mandiri,978-602-7532-38-0,Bandung
,Memahami psikotes,,Pustaka grafika,979-730-073-0,Bandung
,Akuntansi perusahaan jasa & dagang,,Alfabeta,978-602-8800-56-3,Bandung
,English grammar an overview = Ringkasan tata bahasa inggris,,Permata Press,978-979-15539-7-1,S.L..
,Let's speak english,,Pustaka pelajar,978-979-1277-72-3,Yogyakarta
,Strategi pembelajaran di era kurikulum 2013,,prestasi pustakaraya,978-602-8963-99-2,Jakarta
,Akuntansi sektor publik,,BPFE-Yogyakarta,979-503-492-8,Yogyakarta
,Teori administrasi publik dan birokrasi dalam perspektif ekonomi politik,,Taroda,979-833-209-1,S.L..
,Desain relasli efektif guru dan murid,,Bukubiru,978-602-7665-67-5,Yogyakarta
,Dua puluh empat jam belajar VB.Net,,Elex mediia komputindo,978-602-02-5123-3,Jakarta
,Micro teaching : Disertasi dengan pedoman pengalaman lapangan,,Rajawali Pers,978-979-291-9,Jakarta
,Kebijakan akuntansi berbasis aktual berpedoman pada SAP,,Remaja Rosdakarya,978-979-692-605-3,Bandung
,Metode penelitian komunikasi dilengkapi contoh analisis statistik,,Remaja Rosdakarya,979-514-161-9,Bandung
,Media pengajaran: Sebuah pendekatan baru,,Referensi Jakarta,978-979-9151-92-6,Jakarta
,Mereka menuduh saya,,Galang Press,978-602-8174-37-4,Yogyakarta
,Kesadaran pendidikan : Sebuah penentu keberhasilan pendidikan,,Ar-Ruzz Media,978-602-18785-9-0,Yogyakarta
,Pembelajaran luar kelas= Outdoor learning,,Prestasi Pustaka,978-602-256-005-0,Jakarta
,Pengantar analisis kebijakan publik,,Gadjah Mada University Press,979-420-442-0,Yogyakarta
,Akuntansi biaya : Pengumpulan biaya & penentuan harga pokok,,BPFE- Yogyakarta,979-503-096-5,Yogyakarta
,Roadmap to god : Meniti kesempurnaan akhlak & kesucian rohani,,Citra Etnika,978-979-26-0727-7,Jakarta
,Psikologi pendidikan,,Alfabeta,978-602-9328-71-4,Bandung
,Essentials of english grammar for fluent english = Intisari tata bahasa Inggris untuk mahir bahasa inggris,,Pustaka Pelajar.,978-602-8479-63-9,Yogyakarta
,Bagimana hutan tropis bisa rusak,,Makindo Grafika,978-602-97902-1-4,Yogyakarta
,"Bahan pangan, gizi & kesehatan",,Alfabeta,978-602-9328-70-7,Bandung
,Manajemen bisnis ritel : Teori politik & karsus ritel,,Caps,978-602-9324-55-6,Yogyakarta
,The rules of management,,Erlangga,978-979015-543-5,Jakarta
,Antologi cerpen periode awal,,Pusat Bahasa,979-685-084-2,Jakarta
,Membangun kembali industri perkayuan nasional di tengah keterpurukan transformasi struktur,,Global Pustaka Utama,979-3146-35-4,Yogyakarta
,Dasar-dasar perencanaan pendidikan,,Raja Grafindo Persada,978-979-769-583-5,Jakarta
,Teknik budidaya tembakau varietas virginia,,Trans Idea,978-602-98189-2-5,Yogyakarta
,Solent killer diseases = Penyakit yang diam2 mematikan,,Javalitera,978-602-98175-2-2,Jogjakarta
,Teori pertumbuhan ekonomi,,BPFE- Yogyakarta,979-503-117-1,Yogyakarta
,Gores guru Es Pernyata,,Pustaka Spirit,978-602-8367-99-8,Jakarta
,Check your english vocabulary for toeic = Mengasah kemampuan kosa kata bahasa Inggris untuk tes Toeic,,Goldenbooks,979-17097-2-6,Jogjakarta
,Ekonomi-politik internasional & pembangunan,,Pustaka pelajar,979-8581-04-0,Yogyakarta
,Kumpulan aplikasi windows mobile,,PT. Elex Media Komputindo,978-979-27-5286-1,Jakarta
,Sekolah emosi: Petunjuk2 untuk meraih energi positif & segala jenis perasaan (Emosi) yang terjadi pada Jiwa anda,,Gerailmu,979-963-783-x,Jogjakarta
,Dasar-dasar fisiologi kardiovaskuler,,Gramedia Pustaka Utama,979-448-096-7,Jakarta
,Model bimbingan kelompok berbasis ajaran Islam : untuk meningkatkan konsep diri siswa,,Pustaka pelajar,978-602-229-292-0,Yogyakarta
,Pengembangan bahan ajar tematik : panduan lengkap aplikatif,,Diva Press,978-602-255-376-2,Yogyakarta
,Manajemen kinerja : falsafah teori dan penerapannya,,Pustaka Pelejar,979-3721-75-8,Yogyakarta
,"Analisis framing : konstitusi ideologi, dan politik media",,LKis,978-979-949-269-2,Yogyakarta
,Profesi kependidikan : Problem solusi dan reformasi pendidikan di Indoensia,,Bumi aksara,978-979-010-171-5,Jakarta
,Anggaran perusahaan,,BPFE,979-503-422-7,Yogyakarta
,Kayu Jabon,,Penebar swadaya,978-979-002-458-8,Jakarta
,Teori akuntansi,,Kencana,978-979-1486-90-3,Jakarta
,Apa itu homeschooling : 35 gagasan pendidikan berbasis keluarga,,PandaMedia,979-780-709-6,Jakarta
,The Baader meinhof complex,,Abdi Tandur,979-3047-45-3,s.l.2
,"Critical thinking for students : learn the skills of analysing, evaluating & producing arguments",,How to books,978-1-84528-386-5,Oxfort
,Dasar-dasar menggambar arsitektur,,Griya Kreasi,978-979-661-253-6,Jakarta
,Pengembangan model pembelajaran : Uji efektivitas bahan ajar BIPA,,Pusat Bahasa Departemen Pendidikan Nasional,978-979-685-748-7,Jakarta
,An english course : Fokus on reading and translation ability,,UNY,979-8418-14-x,Yogyakarta
,Metodologi penelitian,,RajaGrafindo Persada,979-421-104-4,Jakarta
,Rakyat dapat apa?,,Kp Book,978-602-19626-7-1,Balikpapan
,Ekonomi mikro Islami,,RajaGrafindo Persada,978-979-769-504-0,Jakarta
,Akuntansi keuangan lanjutan,,BPFE- Yogyakarta,979-503-033-7,Yogyakarta
,Mengelola PAUD : Memahami 46 sifat pendidik yang menghambat pembelajaran,,Kreasi Wacana,978-602-8001-19-9,Yogyakarta
,Model-model media & strategi pembelajaran kontekstual (Inovatif),,Yrama Widya,978-979-077-671-5,Bandung
,Teori haus kelsen tentang hukum,,Konstitusi Press,979-99989-4-8,Jakarta
,Menyelesaikan website 12 juta secara profesional,,PT. Elex Media Komputindo,978-602-022-607-1,Jakarta
,Strategi jitu mencapai kesuksesan belajar,,Elek Media komputindo,978-979-27-9978-1,Jakarta
,Perencanaan inventarisasi hutan,,Universitas Indonesia,979-8034-65-1,Jakarta
,Aplikasi SPSS untuk statistik ekonomi & bisnis,,Caps,978-602-97912-7-3,Yogyakarta
,"Metode penelitian kualitatif, kuantatif & kombinasi",,Alfabeta,978-602-9328-06-6,Bandung
,Buku panduan perencanaan pemasaran,,Indeks,979-683-967-9,Jakarta
,Mengunggap hikmah & dahsyatnya Syahadat,,Qiyas,978-602-956-80-0-4,Samarinda
,Dasar-dasar manajemen keuangan,,Salemba Empat,978-979-061-364-5,Jakarta
,Prinsip dasar ekonomi Islam,,Kencana,978-602-7985-58-2,Jakarta
,Tops pola hidup sehat di era ultramodern,,Tugu Publisher,979-3190-36-1,Yogyakarta
,Komunikasi antarpribadi : Perilaku insani dalam organisasi pendidikan,,Raja Grafindo Persada,978-979-769-770-9,Jakarta
,Biokimia kesehatan,,Nuha Medika,978-602-1547-26-7,Yogyakarta
,Prinsip proses & teknologi pangan,,Alfabeta,978-602-7825-41-3,Bandung
,Program cerdas kuasai 16 tenses,,Scientific Press,978-602-200-820-0,Tangerang Selatan
,Pengantar ilmu komunikasi,,RajaGrafindo Persada,978-979-468-5,Jakarta
,"Praktiukum audit seri 2 : intruksi umu, berkas permanen , permasalahan dan kertas kerja pemeruksaaan tahun lalu",,Salemba Empat,978-979-691-508-8,Jakarta
,Teknologi pengolahan dan pengawetan pangan,,Alfabeta,978-602-8361-45-3,Bandung
,Panduan IFRS,,Indeks,978-979-062-325-5,Jakarta
,Penelitian tindakan action research,,Alfabeta,979-8433-60-8,Bandung
,Dasar-dasar public relations,,P2U-LPPM UNISBA,979-946-202-9,Bandung
,Manajemen pemasaran : Suatu pendekatan strategi dengan orientasi global,,Erlangga,979-511-826-5,Jakarta
,Kimia organik fisik,,Graha ilmu,978-979-756-328-8,Yogyakarta
,Politik hukum pengelolaan lingkungan hidup,,Setara Press,978-602-1642-16-0,Malang
,Fisika terapan,,Remaja Rosdakarya,978-979-692-129-4,Bandung
,Akuntabilitas pejabat publik,,Universitas Negeri Malang (UM Press),979-495-841-7,Malang
,Kinerja guru,,RajaGrafindo Persada,978-979-769-607-8,Jakarta
,Manajemen syariah dalam praktik 9 nabi dan rasul,,Elex mediia komputindo,978-602-02-4568-3,Jakarta
,Dilematika hukum ketegakerjaan : Tinjauan politik hukum,,Sofmedia,978-602-8604-10-9,Medan
,Metode penelitian hukum,,Sinar Grafika,978-979-007-285-5,Jakarta
,Analisis laporan keuangan untuk bisnis : Teori dan kasus,,Caps,974-602-9324-34-1,Yogyakarta
,Replika DNA & mutasi,,Pustaka pelajar,978-602-229-091-9,Yogyakarta
,Pengantar komunikasi massa,,Rajawali Pers,978-979-769-521-7,Jakarta
,Bina karakter anak usia dini : Panduan orang tua dan guru dalam membentuk kemandirian dan kedisiplinan anak usia dini,,Ar-Ruzz Media,978-602-7874-05-3,Malang
,Kepemimpinan kepala sekolah,,Pustaka Setia,978-979-076-467-5,Bandung
,Pengantar hukum perdata tertulis = BW,,Sinar Grafika,979-8767-84-5,Jakarta
,Strategi & desain pengembangan sistem pembelajaran,,prestasi pustakaraya,978-602-256-013-5,Jakarta
,Dasar-dasar analisis laporan keuangan,,Rineka Cipta,979-518-622-1,Jakarta
,Teori akuntansi suatu pengantar,,FE UI,978-979-24-5405-5,Jakarta
,Hukum acara peradilan pajak,,RajaGrafindo Persada,978-979-769-550-7,Jakarta
,Pemrograman Web dengan PHP,,Informatika Bandung,978-602-1514-53-5,Bandung
,Struktur & konstruksi rumah menengah,,Griya Kreasi,978-979-661-190-4,Jakarta
,Mastering OSCE,,Karisma Publishing Grouf,978-602-238-356-7,Tangerang Selatan
,Karya tulis ilmiah sosial: Menyiapkan menu & mencermatinya,,Yayasan Obor Indonesia,979-461-494-7,Jakarta
,Seabrek game perangsang minat baca anak,,Buku biru,978-602-978-930-0,Yogyakarta
,Gol: Memahami kesuksesan dari kacamata sepak bola,,Bhuana lmu Populer,978-602-249-194-1,Jakarta
,Metode menulis skripsi & tesis,,Optimus,979-25-2729-x,Yogyakarta
,Hamil sehat cantik & bahagia 0-3 bulan,,Buah Hati,978-602-8663-19-9,Tangerang
,Anak mudah Kaltim : rebut peluang jangan jadi penonton,,Biro Sosial Sekrov Kaltim,978-602-8367-28-7,Samarinda
,Bertanam sayur organik,,Penebar swadaya,978-979-002-391-8,Jakarta
,Administrasi sekolah dan manajemen kelas : strategi membangun disiplin kelas dan suasana edukatif di sekolah,,Pustaka Setia,978-979-730-023-3,Bandung
,Ekonomi koperasi : Teori & praktik,,Alfabeta,978-602-8361-24-8,Bandung
,Dasar-dasar manajemen,,Gadah Mada University Prss,979-420-500-1,Yogyakarta
,Etika profesi hukum,,Citra Aditya Bakti,978-979-491-063-4,Bandung
,the Miracle of Story Telling,,Zikrul,978-979-063-733-7,Jakarta Timur
,Cara praktis menyusun laporan keuangan untuk pemula,,Laksana,978-602-255-346-5,Jogjakarta
,Psikologi belajar,,Rineka Cipta,978-979-518-852-0,Jakarta
,Mengapa banyak orang pandai tapi tidak kritis,,Kalika,978-979-9420-38-1,Yogyakarta
,CAE = Certificate in advanced english,,Edsa Mahkota,979-3996-59-5,Jakarta
,Perjalan Hidup Saya,,Yayasan pancur sawah,979982527x,Jakarta
,Informasi spesialite Obat iso indonesia,,AditamarayaFarmindo,854-4492,Jakarta
,Indeks hasil penelitan dan karya ilmiah,,LIPI,979-8012-96-8,Jakarta
,Serat Imam sujana,,Depdikbud,979-459-712-0,Jakarta
,Negara dan bangsa,,Perpunas,979-8087-09-7,Jakarta
,Analisis struktur dan nilai budaya,,Depdikbud,979-459-755-4,Jakarta
,The british council,,Everyman\'s,1-85715-040-6,London
,Panduan praktis membuat website,,Mediakita,979-794-162-0,Jakarta
,Gurun pasir,,Watts books,979-8087-71-2,Sydney
,Handbook of nuclear biological and chemical agent exposures,,CRC Press,10-1-4200-4477-x,paris
,Delapan tokoh ilmuwan belandabagi pengkajian islam indonesia,,Inis,979-8118-47-x,Jakarta
,History of psychology,,McGrawHill,10-0-07-284965-7,New York
,Panduan lengkap mengasai SPSS 19 untuk mengolah data statistik penelitian,,Mediakita,979-794-312-7,Jakarta
,Kamus synonym antonym,,Rineka Cipta,979-518-686-8,Jakarta
,Collected stories,,Everyman\'s,1-85715-785-0,New York
,The Trial,,McGrawHill,1-85715-075-9,New York
,INDONESIAN HERITAGE,,Grolier,979-8926-13-7,Jakarta
,Britain 1989 an official hanbook,,McGrawHill,0-11-70138-70,New York
,Pengalaman dalam msa pengapdian,,Gramedia,979-669-044-6,Jakarta
,IKHTISAR SEJARAH BAHASA INGGRIS,,Depdikbud,979-459-708-2,Jakarta
,Serat ngabdul Jalil,,Depdikbud,979-459-709-0,Jakarta
,Suntingan teks syair ismar yatim,,Depdikbud,979-459-70-4,Jakarta
,Geguritan Kendit Birayung,,Depdikbud,979-459-715-5,Jakarta
,Lengser keprabon,,RajaGrafindo Persada,979-421-853-7,Jakarta
,Kumpulan cerita legenda dari tanah Duri,,Depdikbud,979-459-705-8,Jakarta
,Geguritan Dukuh Wanasari,,Depdikbud,979-459-720-1,Jakarta
,Serat Kabar Kiamat,,Depdikbud,979-459-718-x,Jakarta
,Serat Purwahya,,Depdikbud,979-459-711-2,Jakarta
,Hikayat Indra Laksana,,Depdikbud,979-459-717-1,Jakarta
,Si Maulana Na Nijaorkon Ni Ama Inana,,Depdikbud,979-459-722-8,Jakarta
,Epos Karaeng Tinisombaya Ri Gowa,,Depdikbud,979-459-714-7,Jakarta
,I Mappakmaittojeng,,Depdikbud,979-459-713-9,Jakarta
,Wawacan Amungsari Jaung Lembusari,,Depdikbud,979-459-723-6,Jakarta
,Sari leteratur Jawa,,Perpunas,979-8006-05-4,Jakarta
,Panduan pemeriksaan diagnosastik USG,,Buku kedokteran,979-448-489-x,Jakarta
,Petunjuk membaca foto untuk dokter umum,,Buku kedokteran,979-448-078-9,Jakarta
,Ilmu penyakit dalam dignosis dan terapi,,Buku kedokteran,979-448-543-8,Jakarta
,Istilah -istilah dunia pariwisata,,Pradnya Paramita,979-408-230-9,Jakarta
,Pascastrukturalisme teori implikasi metodologi dan contoh aplikasi,,Depdiknas,978-979-685-752-4,Jakarta
,Kamus istilah sastra,,UI,979-459-069-3,Jakarta
,Antologi Drama indonesia,,Amanah,979-99858-2-x,Jakarta
,Analisis struktur dan nilai budaya,,Depdikbud,979-459-900-x,Jakarta
,Analisis struktur dan nilai budaya,,Depdikbud,979-459-579-0,Jakarta
,Dari rekonstruksi ke refleksi,,Depdiknas,978-979-685-667-1,Jakarta
,Hermeneutika sastra barat dan timur,,Depdiknas,978-979-685-750-0,Jakarta
,Plagiat-plagiat di mit,,Haji Masagung,979-412-205-x,Jakarta
,Indeks berita dan artikel surat kabar,,Perpunas,0219-7573,Jakarta
,Katalog publikasi berseri dokumen PBB,,Perpunas,979-8006-06-2,Jakarta
,Informasi buku baru koleksi perpustakaan nasional RI,,Perpunas,0216-7522,Jakarta
,Panduan gizi lengkap keluarga dan olahragawan,,Andi,979-763-634-8,Yogyakarta
,Bahaya bahan kimia pada kesehatan manusia dan lingkungan,,Buku kedokteran,979-448-755-4,Jakarta
,Kumpulan terjemahan sstra Angkola/Mandailing,,Pusat pembianaan dan pengembangan bahasa,979-459-247-1,Jakarta
,Absurdisme dalam sastra indonesia,,Depdiknas,978-979-685-671-8,Jakarta
,Kartini,,Djambatan,979-428-127-1,Jakarta
,Paparikan lawe,,Depdikbud,979-459-932-8,Jakarta
,Transliterasi dan terjemahan teks rama purana,,Depdikbud,979-459-933-6,Jakarta
,Great Expectations,,Everyman\'s,1-85715-056-2,London
,Uncle tom's cabin,,Everyman\'s,1-85715-206-9,London
,Oliver twist,,Everyman\'s,1-85715-110-0,London
,Nostromo,,Everyman\'s,1-85715-088-0,London
,Sense and sensebility,,Everyman\'s,1-85715-051-1,London
,Scarlet and black,,Everyman\'s,1-85715-038-4,London
,Kamus lengkap Jerman-indonesia,,RajaGrafindo Persada,979-421-142-7,Jakarta
,Pijar-pijar karya anceaux,,Pusat pembianaan dan pengembangan bahasa,979-8310-05-5,Jakarta
,Bunga potong,,LIPI,979-8012-63-1,Jakarta
,Hotel snackbar panduan untuk uji kopetensi,,Andi,979-763615-1,Jakarta
,Petunjuk gizi untuk setiap cabang olah raga,,RajaGrafindo Persada,979-421-533-3,Jakarta
,Pedoman tindakan praktis medik dan bedah,,Buku kedokteran,979-448-472-5,Jakarta
,Petunjuk penting pada penyakit THT,,Buku kedokteran,979-492-038-x,Jakarta
,Atlas parasitologi kedokteran,,Gramedia,979-605-146-x,Jakarta
,Penuntun praktis parasitologi kedokteran,,Erlangga,979-3557-12-5,Surabaya
,Atlas bantu THT,,HIpokrates,979-492-057-6,Jakarta
,Atlas bantu THT,,HIpokrates,979-492-047-9,Jakarta
,Buku panduan praktikum ilmu farmasi kedokteran,,UI,979-456-331-5,Jakarta
,Atlas histologi di fiore dengan korelasi fungsional,,Buku kedokteran,979-448-599-3,Jakarta
,Fonologi bahasa melayu sambas,,Depdikbud,979-459-827-5,Jakarta
,Diatesis aktif pasif dalam wacana naratif bahasa jawa,,Depdikbud,979-459-814-3,Jakarta
,Tata bahasa kaili,,Depdikbud,979-459-896-8,Jakarta
,sintaksis bahasa seruyan,,Depdikbud,979-459-831-3,Jakarta
,Fonologi bahasa yakhai,,Depdikbud,979-459-853-4,Jakarta
,Geografi linguistik bahasa enim,,Depdikbud,979-459-823-2,Jakarta
,Nomina edjektiva bahasa lampung dialek abung,,Depdikbud,979-459-825-9,Jakarta
,Medan makna aktivitas kaki dalam bahasa jawa,,Depdikbud,979-459-813-513-5,Jakarta
,Perbandingan semantis makna atas bawah dalam bahasa indonesia jawa sunda,,Depdikbud,979-459-807-0,Jakarta
,Kumpulan pidato pengkuhan guru besar univer UI,,UGM,979-420-565-6,Jakarta
,Statistik hotel dan akomodasi lainnya di indonesia,,BPS,979-724-103-3,Jakarta
,Buku panduan praktis pelayanan kontrasepsi,,Yayasan bina pustaka SarwonoPrawiroharjo,979-8150-15-5,Jakarta
,Manajemen dan logistik bantuan kemanusiaan dalam sektor kesehatan,,Buku kedokteran,979-448-823-2,Jakarta
,Reference work bibliography,,Bumi aksara,979-526-136-6,Jakarta
,Buku praktis bahasa indonesia,,Depdiknas,979-685-304-3,Jakarta
,Islam indonesia dimata orientalis rusia,,Balai penelitian dan pengembangan agama,978-979-9099-56-3,Jakarta
